Let's begin networking!
 The cnn model with 2 layers is estabished.
It is about the leave-one-out validation method!

Path Mark: content.json




******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1800
increased epoches:  40
minibatch size: 128
iterations per epoch: 13
*[测试结果] 片段识别 test 敏感度：85.29%, 特异度： 100.0%, 精度： 100.0%, 得分： 92.65, 准确度： 91.67%, 用时: 0.05s.
The best metric (without restriction) took place in the epoch:  28
Sensitivity: 97.06; Specificity: 88.46; Score: 92.76; Accuracy: 93.33
Training duration: 4.09s
For the loo method, recheck the test set to have it recorded..
*[测试结果] 片段识别 test 敏感度：97.06%, 特异度： 88.46%, 精度： 91.67%, 得分： 92.76, 准确度： 93.33%, 用时: 0.06s.


Path Mark: content.json




******************************************************************************************
                                         CNN_2
                                        fold_1
******************************************************************************************
trainer info:
training data size: 1800
increased epoches:  40
minibatch size: 128
iterations per epoch: 13
*[测试结果] 片段识别 train 敏感度：14.04%, 特异度： 99.64%, 精度： 97.86%, 得分： 56.84, 准确度： 53.22%, 用时: 1.79s.
*[测试结果] 片段识别 test 敏感度：2.94%, 特异度： 96.15%, 精度： 50.0%, 得分： 49.55, 准确度： 43.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：13.83%, 特异度： 99.64%, 精度： 97.83%, 得分： 56.73, 准确度： 53.11%, 用时: 1.65s.
*[测试结果] 片段识别 test 敏感度：2.94%, 特异度： 100.0%, 精度： 100.0%, 得分： 51.47, 准确度： 45.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：27.36%, 特异度： 99.27%, 精度： 97.8%, 得分： 63.31, 准确度： 60.28%, 用时: 1.77s.
*[测试结果] 片段识别 test 敏感度：11.76%, 特异度： 100.0%, 精度： 100.0%, 得分： 55.88, 准确度： 50.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：21.62%, 特异度： 99.51%, 精度： 98.14%, 得分： 60.57, 准确度： 57.28%, 用时: 1.75s.
*[测试结果] 片段识别 test 敏感度：5.88%, 特异度： 100.0%, 精度： 100.0%, 得分： 52.94, 准确度： 46.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：51.33%, 特异度： 96.12%, 精度： 94.0%, 得分： 73.72, 准确度： 71.83%, 用时: 1.71s.
*[测试结果] 片段识别 test 敏感度：55.88%, 特异度： 100.0%, 精度： 100.0%, 得分： 77.94, 准确度： 75.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：73.77%, 特异度： 90.29%, 精度： 90.0%, 得分： 82.03, 准确度： 81.33%, 用时: 1.64s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 92.31%, 精度： 93.33%, 得分： 87.33, 准确度： 86.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：82.58%, 特异度： 85.68%, 精度： 87.23%, 得分： 84.13, 准确度： 84.0%, 用时: 1.74s.
*[测试结果] 片段识别 test 敏感度：85.29%, 特异度： 76.92%, 精度： 82.86%, 得分： 81.11, 准确度： 81.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：70.29%, 特异度： 92.84%, 精度： 92.08%, 得分： 81.56, 准确度： 80.61%, 用时: 1.75s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 92.31%, 精度： 93.33%, 得分： 87.33, 准确度： 86.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：92.21%, 特异度： 75.97%, 精度： 81.97%, 得分： 84.09, 准确度： 84.78%, 用时: 1.63s.
*[测试结果] 片段识别 test 敏感度：91.18%, 特异度： 57.69%, 精度： 73.81%, 得分： 74.44, 准确度： 76.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：88.63%, 特异度： 81.55%, 精度： 85.05%, 得分： 85.09, 准确度： 85.39%, 用时: 1.72s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 69.23%, 精度： 78.95%, 得分： 78.73, 准确度： 80.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：66.29%, 特异度： 94.3%, 精度： 93.23%, 得分： 80.3, 准确度： 79.11%, 用时: 1.66s.
*[测试结果] 片段识别 test 敏感度：70.59%, 特异度： 92.31%, 精度： 92.31%, 得分： 81.45, 准确度： 80.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：70.18%, 特异度： 93.69%, 精度： 92.94%, 得分： 81.94, 准确度： 80.94%, 用时: 1.92s.
*[测试结果] 片段识别 test 敏感度：70.59%, 特异度： 92.31%, 精度： 92.31%, 得分： 81.45, 准确度： 80.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：89.65%, 特异度： 81.43%, 精度： 85.12%, 得分： 85.54, 准确度： 85.89%, 用时: 2.4s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 69.23%, 精度： 78.95%, 得分： 78.73, 准确度： 80.0%, 用时: 0.08s.
*[测试结果] 片段识别 train 敏感度：80.53%, 特异度： 90.05%, 精度： 90.55%, 得分： 85.29, 准确度： 84.89%, 用时: 2.48s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 76.92%, 精度： 82.35%, 得分： 79.63, 准确度： 80.0%, 用时: 0.09s.
*[测试结果] 片段识别 train 敏感度：95.18%, 特异度： 73.06%, 精度： 80.71%, 得分： 84.12, 准确度： 85.06%, 用时: 2.31s.
*[测试结果] 片段识别 test 敏感度：97.06%, 特异度： 53.85%, 精度： 73.33%, 得分： 75.45, 准确度： 78.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：94.47%, 特异度： 74.76%, 精度： 81.59%, 得分： 84.62, 准确度： 85.44%, 用时: 1.51s.
*[测试结果] 片段识别 test 敏感度：97.06%, 特异度： 53.85%, 精度： 73.33%, 得分： 75.45, 准确度： 78.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：94.77%, 特异度： 75.61%, 精度： 82.15%, 得分： 85.19, 准确度： 86.0%, 用时: 1.56s.
*[测试结果] 片段识别 test 敏感度：94.12%, 特异度： 57.69%, 精度： 74.42%, 得分： 75.91, 准确度： 78.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：90.16%, 特异度： 82.4%, 精度： 85.85%, 得分： 86.28, 准确度： 86.61%, 用时: 1.63s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 69.23%, 精度： 78.95%, 得分： 78.73, 准确度： 80.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：71.31%, 特异度： 94.42%, 精度： 93.8%, 得分： 82.87, 准确度： 81.89%, 用时: 1.47s.
*[测试结果] 片段识别 test 敏感度：64.71%, 特异度： 92.31%, 精度： 91.67%, 得分： 78.51, 准确度： 76.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：76.64%, 特异度： 91.99%, 精度： 91.89%, 得分： 84.31, 准确度： 83.67%, 用时: 1.56s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 88.46%, 精度： 90.32%, 得分： 85.41, 准确度： 85.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：80.02%, 特异度： 91.14%, 精度： 91.45%, 得分： 85.58, 准确度： 85.11%, 用时: 1.77s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 80.77%, 精度： 84.85%, 得分： 81.56, 准确度： 81.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：94.36%, 特异度： 77.31%, 精度： 83.12%, 得分： 85.84, 准确度： 86.56%, 用时: 1.65s.
*[测试结果] 片段识别 test 敏感度：91.18%, 特异度： 57.69%, 精度： 73.81%, 得分： 74.44, 准确度： 76.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：91.09%, 特异度： 82.52%, 精度： 86.06%, 得分： 86.81, 准确度： 87.17%, 用时: 1.84s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 69.23%, 精度： 78.95%, 得分： 78.73, 准确度： 80.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：90.16%, 特异度： 85.07%, 精度： 87.74%, 得分： 87.61, 准确度： 87.83%, 用时: 1.82s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 69.23%, 精度： 78.95%, 得分： 78.73, 准确度： 80.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：93.24%, 特异度： 80.22%, 精度： 84.81%, 得分： 86.73, 准确度： 87.28%, 用时: 1.51s.
*[测试结果] 片段识别 test 敏感度：91.18%, 特异度： 65.38%, 精度： 77.5%, 得分： 78.28, 准确度： 80.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：96.52%, 特异度： 70.51%, 精度： 79.49%, 得分： 83.52, 准确度： 84.61%, 用时: 1.82s.
*[测试结果] 片段识别 test 敏感度：100.0%, 特异度： 50.0%, 精度： 72.34%, 得分： 75.0, 准确度： 78.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：84.84%, 特异度： 89.2%, 精度： 90.29%, 得分： 87.02, 准确度： 86.83%, 用时: 1.69s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 73.08%, 精度： 80.0%, 得分： 77.72, 准确度： 78.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：94.98%, 特异度： 77.18%, 精度： 83.14%, 得分： 86.08, 准确度： 86.83%, 用时: 1.83s.
*[测试结果] 片段识别 test 敏感度：97.06%, 特异度： 65.38%, 精度： 78.57%, 得分： 81.22, 准确度： 83.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：85.66%, 特异度： 89.08%, 精度： 90.28%, 得分： 87.37, 准确度： 87.22%, 用时: 1.49s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 76.92%, 精度： 82.35%, 得分： 79.63, 准确度： 80.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：87.7%, 特异度： 88.35%, 精度： 89.92%, 得分： 88.03, 准确度： 88.0%, 用时: 1.6s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 76.92%, 精度： 82.35%, 得分： 79.63, 准确度： 80.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：87.91%, 特异度： 87.86%, 精度： 89.56%, 得分： 87.88, 准确度： 87.89%, 用时: 1.71s.
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 73.08%, 精度： 80.0%, 得分： 77.72, 准确度： 78.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：94.47%, 特异度： 78.4%, 精度： 83.82%, 得分： 86.44, 准确度： 87.11%, 用时: 1.45s.
*[测试结果] 片段识别 test 敏感度：97.06%, 特异度： 65.38%, 精度： 78.57%, 得分： 81.22, 准确度： 83.33%, 用时: 0.08s.
*[测试结果] 片段识别 train 敏感度：92.21%, 特异度： 83.62%, 精度： 86.96%, 得分： 87.91, 准确度： 88.28%, 用时: 2.39s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 69.23%, 精度： 78.95%, 得分： 78.73, 准确度： 80.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：92.52%, 特异度： 83.13%, 精度： 86.66%, 得分： 87.82, 准确度： 88.22%, 用时: 2.2s.
*[测试结果] 片段识别 test 敏感度：91.18%, 特异度： 73.08%, 精度： 81.58%, 得分： 82.13, 准确度： 83.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：87.3%, 特异度： 88.47%, 精度： 89.97%, 得分： 87.88, 准确度： 87.83%, 用时: 1.72s.
*[测试结果] 片段识别 test 敏感度：85.29%, 特异度： 76.92%, 精度： 82.86%, 得分： 81.11, 准确度： 81.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：94.36%, 特异度： 78.16%, 精度： 83.65%, 得分： 86.26, 准确度： 86.94%, 用时: 1.47s.
*[测试结果] 片段识别 test 敏感度：100.0%, 特异度： 61.54%, 精度： 77.27%, 得分： 80.77, 准确度： 83.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：88.22%, 特异度： 88.35%, 精度： 89.97%, 得分： 88.28, 准确度： 88.28%, 用时: 1.49s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 76.92%, 精度： 83.33%, 得分： 82.58, 准确度： 83.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：93.14%, 特异度： 82.89%, 精度： 86.57%, 得分： 88.02, 准确度： 88.44%, 用时: 1.55s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 69.23%, 精度： 78.95%, 得分： 78.73, 准确度： 80.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：91.8%, 特异度： 85.07%, 精度： 87.93%, 得分： 88.44, 准确度： 88.72%, 用时: 1.8s.
*[测试结果] 片段识别 test 敏感度：91.18%, 特异度： 73.08%, 精度： 81.58%, 得分： 82.13, 准确度： 83.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：92.42%, 特异度： 84.71%, 精度： 87.74%, 得分： 88.56, 准确度： 88.89%, 用时: 1.61s.
*[测试结果] 片段识别 test 敏感度：88.24%, 特异度： 73.08%, 精度： 81.08%, 得分： 80.66, 准确度： 81.67%, 用时: 0.06s.
The best metric (without restriction) took place in the epoch:  7
Sensitivity: 82.35; Specificity: 92.31; Score: 87.33; Accuracy: 86.67
Training duration: 2.87s
For the loo method, recheck the test set to have it recorded..
*[测试结果] 片段识别 test 敏感度：82.35%, 特异度： 92.31%, 精度： 93.33%, 得分： 87.33, 准确度： 86.67%, 用时: 0.05s.


Path Mark: content.json




******************************************************************************************
                                         CNN_2
                                        fold_2
******************************************************************************************
trainer info:
training data size: 1800
increased epoches:  40
minibatch size: 128
iterations per epoch: 13
*[测试结果] 片段识别 train 敏感度：4.91%, 特异度： 100.0%, 精度： 100.0%, 得分： 52.45, 准确度： 48.39%, 用时: 1.6s.
*[测试结果] 片段识别 test 敏感度：6.06%, 特异度： 100.0%, 精度： 100.0%, 得分： 53.03, 准确度： 48.33%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：29.89%, 特异度： 98.3%, 精度： 95.42%, 得分： 64.09, 准确度： 61.17%, 用时: 2.53s.
*[测试结果] 片段识别 test 敏感度：21.21%, 特异度： 100.0%, 精度： 100.0%, 得分： 60.61, 准确度： 56.67%, 用时: 0.07s.
