Let's begin networking!
 The cnn model with 2 layers are estabished.
It is about the leave-one-out validation method!



******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 64
iterations per epoch: 18
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 93.1%, 得分： 80.42, 准确度： 80.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：46.51%, 特异度： 89.05%, 得分： 67.78, 准确度： 67.78%, 用时: 1.07s.
*[测试结果] 片段识别 test 敏感度：61.29%, 特异度： 89.66%, 得分： 75.47, 准确度： 75.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：73.97%, 特异度： 68.73%, 得分： 71.35, 准确度： 71.35%, 用时: 1.0s.
*[测试结果] 片段识别 test 敏感度：83.87%, 特异度： 55.17%, 得分： 69.52, 准确度： 70.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：87.78%, 特异度： 51.27%, 得分： 69.53, 准确度： 69.52%, 用时: 1.18s.
*[测试结果] 片段识别 test 敏感度：100.0%, 特异度： 44.83%, 得分： 72.41, 准确度： 73.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：49.05%, 特异度： 90.16%, 得分： 69.6, 准确度： 69.6%, 用时: 1.08s.
*[测试结果] 片段识别 test 敏感度：61.29%, 特异度： 89.66%, 得分： 75.47, 准确度： 75.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：71.59%, 特异度： 74.76%, 得分： 73.18, 准确度： 73.17%, 用时: 1.14s.
*[测试结果] 片段识别 test 敏感度：74.19%, 特异度： 62.07%, 得分： 68.13, 准确度： 68.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：82.7%, 特异度： 63.65%, 得分： 73.17, 准确度： 73.17%, 用时: 1.27s.
*[测试结果] 片段识别 test 敏感度：90.32%, 特异度： 55.17%, 得分： 72.75, 准确度： 73.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：88.73%, 特异度： 55.24%, 得分： 71.98, 准确度： 71.98%, 用时: 1.07s.
*[测试结果] 片段识别 test 敏感度：93.55%, 特异度： 51.72%, 得分： 72.63, 准确度： 73.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：80.95%, 特异度： 67.3%, 得分： 74.12, 准确度： 74.13%, 用时: 1.3s.
*[测试结果] 片段识别 test 敏感度：80.65%, 特异度： 55.17%, 得分： 67.91, 准确度： 68.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：93.33%, 特异度： 44.44%, 得分： 68.88, 准确度： 68.89%, 用时: 1.29s.
*[测试结果] 片段识别 test 敏感度：96.77%, 特异度： 41.38%, 得分： 69.08, 准确度： 70.0%, 用时: 0.06s.
