Let's begin networking!
 The cnn model with 2 layers are estabished.

It is about the non-cross-peopled 5folds cross validation method!


******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1056
increased epoches:  40
minibatch size: 64
iterations per epoch: 15
*[测试结果] 片段识别 test 敏感度：64.52%, 特异度： 72.48%, 得分： 68.5, 准确度： 67.8%, 用时: 0.24s.
*[测试结果] 片段识别 train 敏感度：78.85%, 特异度： 80.0%, 得分： 79.42, 准确度： 79.45%, 用时: 1.04s.
*[测试结果] 片段识别 test 敏感度：81.94%, 特异度： 59.63%, 得分： 70.78, 准确度： 72.73%, 用时: 0.25s.
*[测试结果] 片段识别 train 敏感度：68.58%, 特异度： 88.55%, 得分： 78.56, 准确度： 78.98%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：65.81%, 特异度： 72.48%, 得分： 69.15, 准确度： 68.56%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：72.33%, 特异度： 87.09%, 得分： 79.71, 准确度： 80.02%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：72.26%, 特异度： 70.64%, 得分： 71.45, 准确度： 71.59%, 用时: 0.23s.
*[测试结果] 片段识别 train 敏感度：61.46%, 特异度： 93.45%, 得分： 77.45, 准确度： 78.12%, 用时: 0.99s.
*[测试结果] 片段识别 test 敏感度：51.61%, 特异度： 77.98%, 得分： 64.8, 准确度： 62.5%, 用时: 0.24s.
The best metric (without restriction) took place in the epoch:  38
Sensitivity: 72.26; Specificity: 70.64; Score: 71.45; Accuracy: 71.59
Training duration: 3.88s

It is about the non-cross-peopled 5folds cross validation method!


******************************************************************************************
                                         CNN_2
                                        fold_1
******************************************************************************************
trainer info:
training data size: 1056
increased epoches:  40
minibatch size: 64
iterations per epoch: 15
*[测试结果] 片段识别 train 敏感度：1.59%, 特异度： 100.0%, 得分： 50.8, 准确度： 53.22%, 用时: 1.06s.
*[测试结果] 片段识别 test 敏感度：2.52%, 特异度： 100.0%, 得分： 51.26, 准确度： 41.29%, 用时: 0.27s.
*[测试结果] 片段识别 train 敏感度：1.0%, 特异度： 100.0%, 得分： 50.5, 准确度： 52.94%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：0.63%, 特异度： 100.0%, 得分： 50.31, 准确度： 40.15%, 用时: 0.24s.
