Let's begin networking!
 The cnn model with 2 layers is estabished.
It is about the leave-one-out validation method!

Path Mark: content-2nditeration.json




******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 32
iterations per epoch: 36
*[测试结果] 片段识别 train 敏感度：87.09%, 特异度： 68.4%, 得分： 77.75, 准确度： 77.94%, 用时: 1.19s.
*[测试结果] 片段识别 test 敏感度：93.55%, 特异度： 55.17%, 得分： 74.36, 准确度： 75.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：89.42%, 特异度： 61.59%, 得分： 75.5, 准确度： 75.79%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：93.55%, 特异度： 48.28%, 得分： 70.91, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：81.96%, 特异度： 75.2%, 得分： 78.58, 准确度： 78.65%, 用时: 1.26s.
*[测试结果] 片段识别 test 敏感度：80.65%, 特异度： 55.17%, 得分： 67.91, 准确度： 68.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：76.21%, 特异度： 79.58%, 得分： 77.89, 准确度： 77.86%, 用时: 1.17s.
*[测试结果] 片段识别 test 敏感度：83.87%, 特异度： 62.07%, 得分： 72.97, 准确度： 73.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：68.12%, 特异度： 87.68%, 得分： 77.9, 准确度： 77.7%, 用时: 1.01s.
*[测试结果] 片段识别 test 敏感度：58.06%, 特异度： 75.86%, 得分： 66.96, 准确度： 66.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：63.3%, 特异度： 89.63%, 得分： 76.47, 准确度： 76.19%, 用时: 1.14s.
*[测试结果] 片段识别 test 敏感度：58.06%, 特异度： 75.86%, 得分： 66.96, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：75.43%, 特异度： 82.66%, 得分： 79.05, 准确度： 78.97%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 72.41%, 得分： 70.07, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：87.25%, 特异度： 69.85%, 得分： 78.55, 准确度： 78.73%, 用时: 1.24s.
*[测试结果] 片段识别 test 敏感度：93.55%, 特异度： 48.28%, 得分： 70.91, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：86.0%, 特异度： 72.45%, 得分： 79.22, 准确度： 79.37%, 用时: 1.15s.
*[测试结果] 片段识别 test 敏感度：90.32%, 特异度： 55.17%, 得分： 72.75, 准确度： 73.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：62.36%, 特异度： 90.44%, 得分： 76.4, 准确度： 76.11%, 用时: 1.21s.
*[测试结果] 片段识别 test 敏感度：54.84%, 特异度： 79.31%, 得分： 67.08, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：74.03%, 特异度： 84.44%, 得分： 79.23, 准确度： 79.13%, 用时: 1.13s.
*[测试结果] 片段识别 test 敏感度：70.97%, 特异度： 72.41%, 得分： 71.69, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：70.61%, 特异度： 87.84%, 得分： 79.22, 准确度： 79.05%, 用时: 1.05s.
*[测试结果] 片段识别 test 敏感度：61.29%, 特异度： 72.41%, 得分： 66.85, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：73.56%, 特异度： 86.22%, 得分： 79.89, 准确度： 79.76%, 用时: 1.24s.
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 72.41%, 得分： 70.07, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：72.63%, 特异度： 86.22%, 得分： 79.42, 准确度： 79.29%, 用时: 1.09s.
*[测试结果] 片段识别 test 敏感度：70.97%, 特异度： 72.41%, 得分： 71.69, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：71.38%, 特异度： 86.39%, 得分： 78.88, 准确度： 78.73%, 用时: 1.09s.
*[测试结果] 片段识别 test 敏感度：64.52%, 特异度： 72.41%, 得分： 68.47, 准确度： 68.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：90.51%, 特异度： 64.99%, 得分： 77.75, 准确度： 78.02%, 用时: 0.98s.
*[测试结果] 片段识别 test 敏感度：93.55%, 特异度： 48.28%, 得分： 70.91, 准确度： 71.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：79.63%, 特异度： 81.52%, 得分： 80.57, 准确度： 80.56%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：74.19%, 特异度： 65.52%, 得分： 69.85, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：83.2%, 特异度： 76.66%, 得分： 79.93, 准确度： 80.0%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：90.32%, 特异度： 48.28%, 得分： 69.3, 准确度： 70.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：71.38%, 特异度： 88.82%, 得分： 80.1, 准确度： 79.92%, 用时: 1.14s.
*[测试结果] 片段识别 test 敏感度：67.74%, 特异度： 75.86%, 得分： 71.8, 准确度： 71.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：65.79%, 特异度： 91.57%, 得分： 78.68, 准确度： 78.41%, 用时: 1.2s.
*[测试结果] 片段识别 test 敏感度：54.84%, 特异度： 79.31%, 得分： 67.08, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：77.6%, 特异度： 83.47%, 得分： 80.53, 准确度： 80.48%, 用时: 1.19s.
*[测试结果] 片段识别 test 敏感度：70.97%, 特异度： 65.52%, 得分： 68.25, 准确度： 68.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：81.18%, 特异度： 79.42%, 得分： 80.3, 准确度： 80.32%, 用时: 1.15s.
*[测试结果] 片段识别 test 敏感度：77.42%, 特异度： 55.17%, 得分： 66.3, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：80.72%, 特异度： 81.69%, 得分： 81.2, 准确度： 81.19%, 用时: 1.16s.
*[测试结果] 片段识别 test 敏感度：87.1%, 特异度： 58.62%, 得分： 72.86, 准确度： 73.33%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：66.1%, 特异度： 91.57%, 得分： 78.83, 准确度： 78.57%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：61.29%, 特异度： 79.31%, 得分： 70.3, 准确度： 70.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：82.27%, 特异度： 78.77%, 得分： 80.52, 准确度： 80.56%, 用时: 1.13s.
*[测试结果] 片段识别 test 敏感度：90.32%, 特异度： 51.72%, 得分： 71.02, 准确度： 71.67%, 用时: 0.05s.
